REG_Number,Department,Graduation_Year,CGPA,Internship,Internship_Months,Projects_Count,Certifications_Count,Python_Skill,SQL_Skill,DSA_Skill,DBMS_Skill,OOP_Skill,Computer_Networks_Skill,Operating_Systems_Skill,Web_Development_Skill,Cloud_Computing_Skill,Machine_Learning_Skill,Communication_Skill,Problem_Solving_Skill,Industry_Python_Required,Industry_SQL_Required,Industry_DSA_Required,Industry_DBMS_Required,Industry_OOP_Required,Industry_Computer_Networks_Required,Industry_Operating_Systems_Required,Industry_Web_Development_Required,Industry_Cloud_Computing_Required,Industry_Machine_Learning_Required,Industry_Communication_Required,Industry_Problem_Solving_Required,Python_Gap,SQL_Gap,DSA_Gap,DBMS_Gap,OOP_Gap,Computer_Networks_Gap,Operating_Systems_Gap,Web_Development_Gap,Cloud_Computing_Gap,Machine_Learning_Gap,Communication_Gap,Problem_Solving_Gap,Overall_Skill_Gap,Skill_Alignment_Percentage,Placement_Status,event_timestamp
231FA04011,CSE,2027,7.97,Yes,6,4,0,6,3.4,6.6,6.9,6.7,7.3,6.6,7.1,7.2,6.9,6.8,5.9,8,8,8,8,8,7,6,8,7,7,8,7,2,4.6,1.4,1.1,1.3,0,0,0.9,0,0.1,1.2,1.1,1.14,88.6,Not Placed,2026-01-03 12:00:00
231FA04012,CSE-DS,2027,7.81,Yes,2,3,1,7.6,6.5,6.4,7.5,7.2,6,8.5,5.4,5.6,7.7,9.1,6.2,7,8,7,7,8,7,7,7,6,8,8,9,0,1.5,0.6,0,0.8,1,0,1.6,0.4,0.3,0,2.8,0.75,92.5,Placed,2026-01-03 18:00:00
231FA04013,CSE-DS,2027,7.85,Yes,4,2,4,7.5,5.5,5.9,8.4,7.5,8.5,8.4,4.4,5.5,7.4,4.9,5.7,8,9,8,6,8,6,8,7,7,6,8,8,0.5,3.5,2.1,0,0.5,0,0,2.6,1.5,0,3.1,2.3,1.34,86.6,Placed,2026-01-04 00:00:00
231FA04014,CSE,2027,6.69,Yes,8,4,2,8.7,6.2,7.8,6.8,6,4.8,7.2,8.7,6.1,7,5,6,8,9,8,6,8,7,7,8,7,6,8,8,0,2.8,0.2,0,2,2.2,0,0,0.9,0,3,2,1.09,89.1,Placed,2026-01-04 06:00:00
231FA04015,CSE,2027,6.84,No,0,4,3,7.2,7.7,7.5,4.2,6.2,5.6,6.4,6.6,8.1,7.2,8.6,5.9,7,8,8,7,8,7,7,7,7,7,9,7,0,0.3,0.5,2.8,1.8,1.4,0.6,0.4,0,0,0.4,1.1,0.77,92.3,Placed,2026-01-04 12:00:00
231FA04016,CSE,2027,8.44,Yes,12,2,2,5.2,8.8,7.5,6.1,7.5,8,7.1,6.1,6.4,7.4,7.2,8.5,9,7,7,7,8,7,8,6,8,7,8,9,3.8,0,0,0.9,0.5,0,0.9,0,1.6,0,0.8,0.5,0.75,92.5,Placed,2026-01-04 18:00:00
231FA04017,CSE,2027,7.62,Yes,5,6,1,6.9,6,10,7.4,8.3,7.9,7.5,6.9,3.7,5.9,7.6,3.8,8,8,8,7,8,7,7,6,8,7,8,9,1.1,2,0,0,0,0,0,0,4.3,1.1,0.4,5.2,1.18,88.2,Placed,2026-01-05 00:00:00
231FA04018,CSE,2027,8.16,Yes,4,7,2,7.6,8.4,8.6,8.3,8.7,9.5,8.9,7.8,7.4,7.7,7.2,8.9,8,8,7,7,7,8,7,7,6,8,8,8,0.4,0,0,0,0,0,0,0,0,0.3,0.8,0,0.12,98.8,Placed,2026-01-05 06:00:00
231FA04019,CSE,2027,7.67,No,0,4,1,7.5,6.3,8.4,6.4,5.6,6.8,5.8,8,5.7,6.6,8,5.9,8,7,8,7,8,7,7,8,6,7,8,8,0.5,0.7,0,0.6,2.4,0.2,1.2,0,0.3,0.4,0,2.1,0.7,93,Not Placed,2026-01-05 12:00:00
231FA04020,CSE,2027,7.67,Yes,4,2,3,7.4,5.7,7.2,7.6,6.9,7,7.5,6.6,8,8.6,5.8,9.1,9,8,8,8,8,6,8,7,7,7,9,8,1.6,2.3,0.8,0.4,1.1,0,0.5,0.4,0,0,3.2,0,0.86,91.4,Placed,2026-01-05 18:00:00
231FA04021,CSE-AIML,2027,8.35,Yes,4,4,1,6.8,9.6,6.8,8,8,6.6,7.2,8.9,6.7,6.6,5.7,9.1,8,9,7,7,9,7,6,6,6,7,9,8,1.2,0,0.2,0,1,0.4,0,0,0,0.4,3.3,0,0.54,94.6,Placed,2026-01-06 00:00:00
231FA04022,CSE,2027,7.26,Yes,2,2,1,6.1,8.2,5.9,8.1,7.7,6.4,5.8,5.9,5.8,8,6.9,5.3,8,9,7,6,9,7,8,6,6,7,9,9,1.9,0.8,1.1,0,1.3,0.6,2.2,0.1,0.2,0,2.1,3.7,1.17,88.3,Not Placed,2026-01-06 06:00:00
231FA04023,CSE,2027,7.72,Yes,4,2,2,6.5,6.7,4.2,6.6,7.7,6.7,7.2,7.4,6.4,7.8,8.7,4.9,8,8,8,7,7,7,6,6,6,8,7,8,1.5,1.3,3.8,0.4,0,0.3,0,0,0,0.2,0,3.1,0.88,91.2,Not Placed,2026-01-06 12:00:00
231FA04024,CSE,2027,7.3,Yes,5,2,4,6.5,9.8,7.1,6.9,6.6,8.5,5.7,8.1,6.6,6,6.6,6.9,7,8,8,8,9,7,8,6,7,7,7,8,0.5,0,0.9,1.1,2.4,0,2.3,0,0.4,1,0.4,1.1,0.84,91.6,Placed,2026-01-06 18:00:00
231FA04025,CSE,2027,7.32,Yes,6,2,5,6.4,8.4,6.1,7.2,7.7,7.2,8,6.5,7.8,7.8,8.2,4.6,9,8,8,7,9,7,7,7,7,7,8,8,2.6,0,1.9,0,1.3,0,0,0.5,0,0,0,3.4,0.81,91.9,Not Placed,2026-01-07 00:00:00
231FA04026,CSE-AIML,2027,7.42,No,0,4,1,7.4,7.9,6.2,6.1,5.9,5.5,7.6,9.6,6,6.2,6.8,4.7,8,8,8,7,9,6,7,8,7,6,8,8,0.6,0.1,1.8,0.9,3.1,0.5,0,0,1,0,1.2,3.3,1.04,89.6,Not Placed,2026-01-07 06:00:00
231FA04027,CSE,2027,7.82,Yes,6,3,2,6.1,6.9,5.9,8.5,5.4,8.1,8.8,7.5,6.8,7.3,6.4,4.4,8,8,8,7,8,7,8,6,7,7,9,8,1.9,1.1,2.1,0,2.6,0,0,0,0.2,0,2.6,3.6,1.18,88.2,Placed,2026-01-07 12:00:00
231FA04028,CSE,2027,7.29,No,0,1,2,5.2,6.4,5.3,5.9,7,6.6,7.8,6.8,6.9,5.5,4.8,5.9,8,8,8,8,9,7,6,7,8,7,8,9,2.8,1.6,2.7,2.1,2,0.4,0,0.2,1.1,1.5,3.2,3.1,1.73,82.7,Not Placed,2026-01-07 18:00:00
231FA04029,CSE-AIML,2027,8.59,No,0,1,4,5.9,6.6,5.5,7.9,5.9,6.4,6.8,8.3,9.1,9.1,5.3,6.4,8,8,8,6,8,8,8,8,7,7,8,8,2.1,1.4,2.5,0,2.1,1.6,1.2,0,0,0,2.7,1.6,1.27,87.3,Placed,2026-01-08 00:00:00
231FA04030,CSE,2027,6.98,Yes,6,6,1,6.4,7.6,7.5,6.4,6.3,5.8,3.8,5.5,8.2,8.9,8.8,8.2,7,8,8,7,7,7,6,8,6,7,7,8,0.6,0.4,0.5,0.6,0.7,1.2,2.2,2.5,0,0,0,0,0.72,92.8,Placed,2026-01-08 06:00:00
231FA04031,CSE-AIML,2027,7.51,Yes,5,2,5,5.8,5.6,4.8,6.3,7.2,5.8,7.6,7.9,6.4,5.4,8.8,7.1,7,7,7,7,7,7,7,7,8,7,7,8,1.2,1.4,2.2,0.7,0,1.2,0,0,1.6,1.6,0,0.9,0.9,91,Not Placed,2026-01-08 12:00:00
231FA04032,CSE,2027,7.32,Yes,2,3,0,9.2,6.8,6.9,5.5,6.2,4.8,5,7.7,6.4,6.2,5.8,6.2,8,8,8,6,7,7,7,7,7,7,8,8,0,1.2,1.1,0.5,0.8,2.2,2,0,0.6,0.8,2.2,1.8,1.1,89,Placed,2026-01-08 18:00:00
231FA04033,CSE,2027,8.74,Yes,8,1,3,8.4,7.2,5.5,8.3,9.2,7.6,8.1,8.5,4.9,9.3,8.4,7.6,8,8,8,7,8,6,7,6,7,8,9,8,0,0.8,2.5,0,0,0,0,0,2.1,0,0.6,0.4,0.53,94.7,Placed,2026-01-09 00:00:00
231FA04034,CSE-DS,2027,7.8,Yes,8,4,3,7,5.5,6.8,7.7,5.8,7.1,5.7,6.7,5.5,5.4,7.6,6.5,8,9,8,8,8,7,7,7,8,7,8,8,1,3.5,1.2,0.3,2.2,0,1.3,0.3,2.5,1.6,0.4,1.5,1.32,86.8,Not Placed,2026-01-09 06:00:00
231FA04035,CSE-DS,2027,8.42,No,0,2,1,6.1,5.9,10,7.5,7.6,5.7,7.3,6.4,5.7,9.1,7.4,7.4,7,8,8,7,9,6,8,8,7,8,9,8,0.9,2.1,0,0,1.4,0.3,0.7,1.6,1.3,0,1.6,0.6,0.88,91.2,Not Placed,2026-01-09 12:00:00
231FA04036,CSE-DS,2027,6.54,No,0,2,0,5,4.7,6.2,5.5,7,7.1,6.3,7.3,6.5,5.2,6,6.4,7,7,8,7,8,7,8,7,8,7,7,8,2,2.3,1.8,1.5,1,0,1.7,0,1.5,1.8,1,1.6,1.35,86.5,Not Placed,2026-01-09 18:00:00
231FA04037,CSE,2027,7.85,Yes,8,4,1,8.2,7.3,6.3,8.2,7.5,9,7.1,5.7,8.5,6.3,7.4,7.3,7,8,8,7,9,7,6,7,7,7,8,8,0,0.7,1.7,0,1.5,0,0,1.3,0,0.7,0.6,0.7,0.6,94,Not Placed,2026-01-10 00:00:00
231FA04038,CSE,2027,8.32,Yes,6,3,3,7.2,7,5.1,5.9,8.6,7.7,9.6,5.9,7.1,8.6,6.5,6.6,9,7,7,8,7,8,7,8,7,6,8,9,1.8,0,1.9,2.1,0,0.3,0,2.1,0,0,1.5,2.4,1.01,89.9,Not Placed,2026-01-10 06:00:00
231FA04039,CSE-AIML,2027,7.71,No,0,2,2,6.3,6.1,7.3,4.4,8.7,5.4,4,6.6,6.2,6.4,7,7.4,8,7,8,6,8,8,7,8,7,8,8,8,1.7,0.9,0.7,1.6,0,2.6,3,1.4,0.8,1.6,1,0.6,1.32,86.8,Not Placed,2026-01-10 12:00:00
231FA04040,CSE,2027,8.45,No,0,1,1,8.7,5.7,7.6,7.5,3.3,5.5,5,7.1,7,7,6.2,6.3,7,8,8,8,7,8,7,6,8,7,7,7,0,2.3,0.4,0.5,3.7,2.5,2,0,1,0,0.8,0.7,1.16,88.4,Placed,2026-01-10 18:00:00
231FA04041,CSE,2027,7.26,No,0,5,5,7.1,6.7,8.1,5.8,6.2,7.3,6.7,5.8,7.8,6.4,6.1,6.9,8,7,8,7,8,6,7,7,7,7,8,9,0.9,0.3,0,1.2,1.8,0,0.3,1.2,0,0.6,1.9,2.1,0.86,91.4,Placed,2026-01-11 00:00:00
231FA04042,CSE,2027,8.71,Yes,5,1,1,5.7,6.8,6.4,6.2,6.2,8.1,7.3,4.7,7.9,7.5,7.4,8,8,8,8,7,8,7,7,7,7,6,9,8,2.3,1.2,1.6,0.8,1.8,0,0,2.3,0,0,1.6,0,0.97,90.3,Placed,2026-01-11 06:00:00
231FA04043,CSE,2027,9.37,No,0,2,0,6.8,7.6,6.2,7.9,7.1,5.1,8.1,6.7,6.5,6.3,6.4,7.1,8,8,8,7,8,8,6,7,7,6,8,8,1.2,0.4,1.8,0,0.9,2.9,0,0.3,0.5,0,1.6,0.9,0.88,91.2,Placed,2026-01-11 12:00:00
231FA04044,CSE-DS,2027,7.38,Yes,6,3,3,5.7,5,5.6,7.5,6.8,8.4,6.9,8,6.1,6.4,7,6.8,9,8,7,8,8,7,6,7,7,7,9,9,3.3,3,1.4,0.5,1.2,0,0,0,0.9,0.6,2,2.2,1.26,87.4,Placed,2026-01-11 18:00:00
231FA04045,CSE,2027,7.32,Yes,6,4,2,6.7,5.9,5,7.8,7.7,6.2,7.5,6.8,8.4,5.4,6.8,6.7,8,9,8,7,7,7,6,7,7,7,8,8,1.3,3.1,3,0,0,0.8,0,0.2,0,1.6,1.2,1.3,1.04,89.6,Placed,2026-01-12 00:00:00
231FA04046,CSE-AIML,2027,8.74,Yes,6,2,2,7.2,9,6.9,8,6.9,8.4,8,6.6,6.5,7.7,6.2,7.3,8,7,8,7,7,7,7,7,7,6,7,8,0.8,0,1.1,0,0.1,0,0,0.4,0.5,0,0.8,0.7,0.37,96.3,Placed,2026-01-12 06:00:00
231FA04047,CSE,2027,8.83,Yes,3,6,4,7.3,8.2,7.5,6.8,9.1,8,7.6,8.2,5.6,10,7.7,5.3,9,8,8,7,8,6,7,7,6,7,8,8,1.7,0,0.5,0.2,0,0,0,0,0.4,0,0.3,2.7,0.48,95.2,Placed,2026-01-12 12:00:00
231FA04048,CSE,2027,7.26,No,0,3,3,8.2,5.8,8.1,6.9,4.8,7.1,7,8.2,7.4,5.2,8,6.2,7,7,9,6,9,7,7,7,7,7,7,8,0,1.2,0.9,0,4.2,0,0,0,0,1.8,0,1.8,0.83,91.7,Not Placed,2026-01-12 18:00:00
231FA04049,CSE,2027,7.33,Yes,10,5,2,9.3,6.7,6.9,6.1,6.5,6.2,8.6,5.5,8.1,8.2,8.8,7.2,8,8,8,7,8,7,6,6,7,7,8,8,0,1.3,1.1,0.9,1.5,0.8,0,0.5,0,0,0,0.8,0.57,94.3,Placed,2026-01-13 00:00:00
231FA04050,CSE,2027,7.44,Yes,6,4,1,5.7,6.7,7.7,7.1,7.4,8.7,7.7,7.2,4.6,6,6.4,4.5,8,8,7,8,8,7,7,7,6,7,9,8,2.3,1.3,0,0.9,0.6,0,0,0,1.4,1,2.6,3.5,1.13,88.7,Not Placed,2026-01-13 06:00:00
231FA04051,CSE-DS,2027,6.64,Yes,10,4,3,5.6,6.6,6.8,7.6,6.7,7.3,6.4,7,7.5,8.8,6.3,7.1,8,8,8,6,8,7,7,7,8,7,8,7,2.4,1.4,1.2,0,1.3,0,0.6,0,0.5,0,1.7,0,0.76,92.4,Not Placed,2026-01-13 12:00:00
231FA04052,CSE-AIML,2027,6.96,Yes,6,5,4,8.3,5.4,9.7,8.7,5.1,7.7,6.5,6.7,7.7,8.5,6.6,6.6,9,9,8,7,7,7,7,7,6,7,8,8,0.7,3.6,0,0,1.9,0,0.5,0.3,0,0,1.4,1.4,0.82,91.8,Not Placed,2026-01-13 18:00:00
231FA04053,CSE-DS,2027,6.9,Yes,6,3,0,7.1,7.4,5.4,8.8,5.8,7.8,7.2,7.4,5.9,4.5,6.6,6.6,8,7,7,6,7,7,8,8,7,7,9,8,0.9,0,1.6,0,1.2,0,0.8,0.6,1.1,2.5,2.4,1.4,1.04,89.6,Not Placed,2026-01-14 00:00:00
231FA04054,CSE-DS,2027,7.07,Yes,6,5,2,5.9,8.2,7,6.1,7.8,7.8,6.2,8.6,9.9,5.7,6.8,7.5,8,9,8,8,9,7,7,7,6,8,8,8,2.1,0.8,1,1.9,1.2,0,0.8,0,0,2.3,1.2,0.5,0.98,90.2,Not Placed,2026-01-14 06:00:00
231FA04055,CSE-AIML,2027,7.62,No,0,3,1,9.5,5.7,5.5,5.5,8.2,5.8,5.6,7,7,8,6.8,7,7,9,9,7,9,7,7,7,7,7,8,7,0,3.3,3.5,1.5,0.8,1.2,1.4,0,0,0,1.2,0,1.08,89.2,Not Placed,2026-01-14 12:00:00
231FA04056,CSE-DS,2027,7.83,Yes,5,6,3,7.3,5.8,7.2,7.5,6.9,5.5,6,7.4,8.6,9.5,7.2,6.5,8,9,9,7,7,7,6,7,7,7,8,7,0.7,3.2,1.8,0,0.1,1.5,0,0,0,0,0.8,0.5,0.72,92.8,Not Placed,2026-01-14 18:00:00
231FA04057,CSE,2027,8.81,Yes,6,4,5,7.1,6.2,8.5,10,6.7,6.1,8.8,7.9,8,9.5,5.8,5.8,8,9,8,7,8,6,7,6,7,8,9,8,0.9,2.8,0,0,1.3,0,0,0,0,0,3.2,2.2,0.87,91.3,Not Placed,2026-01-15 00:00:00
231FA04058,CSE,2027,6.9,Yes,3,4,4,6.9,7.2,6.6,10,6.7,6.4,7.2,8.3,6.2,6.9,8.3,8.4,8,8,8,6,9,7,7,7,6,8,8,8,1.1,0.8,1.4,0,2.3,0.6,0,0,0,1.1,0,0,0.61,93.9,Not Placed,2026-01-15 06:00:00
231FA04059,CSE,2027,8.39,No,0,4,1,7.2,10,9.4,5.2,4.8,7.9,8.6,6.7,6.3,5.9,5.5,8.4,7,7,8,8,8,8,8,6,7,7,9,7,0,0,0,2.8,3.2,0.1,0,0,0.7,1.1,3.5,0,0.95,90.5,Placed,2026-01-15 12:00:00
231FA04060,CSE,2027,7.49,No,0,2,3,6.2,7.1,4.4,7.9,7.4,5,7,6.7,6.1,3,5.9,7.1,8,7,9,7,7,7,6,7,8,7,7,8,1.8,0,4.6,0,0,2,0,0.3,1.9,4,1.1,0.9,1.38,86.2,Not Placed,2026-01-15 18:00:00
231FA04061,CSE,2027,7.61,No,0,4,3,6.3,6.7,8.8,6.8,4.3,6.7,7.1,5.9,7.9,5.1,6.8,5.1,8,8,9,7,8,6,8,7,7,7,9,7,1.7,1.3,0.2,0.2,3.7,0,0.9,1.1,0,1.9,2.2,1.9,1.26,87.4,Not Placed,2026-01-16 00:00:00
231FA04062,CSE,2027,8.16,Yes,3,6,2,7,8.3,7.2,7.1,7.4,7.5,8.3,8.3,9.2,7.6,5.3,8.5,8,7,8,7,8,7,7,6,7,7,9,9,1,0,0.8,0,0.6,0,0,0,0,0,3.7,0.5,0.55,94.5,Not Placed,2026-01-16 06:00:00
231FA04063,CSE-DS,2027,6.81,Yes,4,2,3,8.4,9.8,8.6,6.1,7,6.4,6.2,6.6,8.3,4.8,5.5,8.3,9,9,8,6,8,7,8,7,8,7,8,8,0.6,0,0,0,1,0.6,1.8,0.4,0,2.2,2.5,0,0.76,92.4,Placed,2026-01-16 12:00:00
231FA04064,CSE,2027,7.94,Yes,4,4,1,8.9,6.2,9.1,8.3,6.7,4,5,6.2,8,8,6.5,6.8,9,8,8,7,7,7,7,7,7,7,8,8,0.1,1.8,0,0,0.3,3,2,0.8,0,0,1.5,1.2,0.89,91.1,Placed,2026-01-16 18:00:00
231FA04065,CSE,2027,7.77,No,0,1,4,6.7,6.4,6.9,6.7,4.6,6.4,6.7,7.9,5.7,6.9,7.4,6.5,8,7,9,6,8,7,7,7,7,7,9,8,1.3,0.6,2.1,0,3.4,0.6,0.3,0,1.3,0.1,1.6,1.5,1.07,89.3,Placed,2026-01-17 00:00:00
231FA04066,CSE,2027,8.02,No,0,4,0,4.6,8,7.7,7.1,6.8,4.6,7.8,8.6,5.4,8.5,8.2,5.4,7,8,9,8,8,7,6,6,7,7,8,8,2.4,0,1.3,0.9,1.2,2.4,0,0,1.6,0,0,2.6,1.03,89.7,Not Placed,2026-01-17 06:00:00
231FA04067,CSE,2027,7.87,Yes,10,4,2,6.6,5.4,7,7.7,5.5,7.6,7.9,7.9,7.7,5.6,7,7.6,9,8,8,7,8,7,7,8,7,7,8,8,2.4,2.6,1,0,2.5,0,0,0.1,0,1.4,1,0.4,0.95,90.5,Not Placed,2026-01-17 12:00:00
231FA04068,CSE-DS,2027,9.49,No,0,2,2,8.8,7,7.5,5.8,5.6,5.4,6.5,9.6,6.5,7.5,7.7,5.6,8,8,8,7,8,7,7,7,7,7,9,9,0,1,0.5,1.2,2.4,1.6,0.5,0,0.5,0,1.3,3.4,1.03,89.7,Placed,2026-01-17 18:00:00
231FA04069,CSE,2027,7.17,No,0,5,1,6.3,7.6,7.3,4.3,7.6,6.1,6.2,7.3,8.7,6.6,8.3,5,8,8,8,7,8,7,7,7,6,7,8,8,1.7,0.4,0.7,2.7,0.4,0.9,0.8,0,0,0.4,0,3,0.92,90.8,Not Placed,2026-01-18 00:00:00
231FA04070,CSE-DS,2027,7.25,Yes,2,1,4,7,6.1,7.1,6.4,5.1,5.7,4.7,5.2,7.4,6.5,7.1,9.1,8,8,9,7,8,7,7,7,8,8,7,9,1,1.9,1.9,0.6,2.9,1.3,2.3,1.8,0.6,1.5,0,0,1.32,86.8,Placed,2026-01-18 06:00:00
231FA04071,CSE-AIML,2027,7.18,No,0,7,2,6.8,7.9,7.2,10,3.4,6.2,8,6.2,7.8,7.1,8.2,5.7,7,8,8,7,9,7,7,8,7,7,8,8,0.2,0.1,0.8,0,5.6,0.8,0,1.8,0,0,0,2.3,0.97,90.3,Placed,2026-01-18 12:00:00
231FA04072,CSE,2027,7.23,Yes,4,4,4,7.4,7.7,7.3,7.3,8.6,5,7.3,5.6,8.1,6.1,4.1,8.1,7,9,8,7,8,7,8,6,7,8,7,8,0,1.3,0.7,0,0,2,0.7,0.4,0,1.9,2.9,0,0.82,91.8,Placed,2026-01-18 18:00:00
231FA04073,CSE,2027,7.17,Yes,8,2,2,6.4,7.2,8.5,7.2,6.9,6.7,5.3,6.5,9.2,6.3,6.5,8.3,8,8,8,6,8,8,8,6,6,8,8,8,1.6,0.8,0,0,1.1,1.3,2.7,0,0,1.7,1.5,0,0.89,91.1,Not Placed,2026-01-19 00:00:00
231FA04074,CSE-DS,2027,8.54,Yes,6,4,5,5.6,8.3,5.5,8,7.5,8.3,6.2,6.8,8.3,6.9,8.4,7.7,8,7,9,7,8,7,6,7,8,8,8,8,2.4,0,3.5,0,0.5,0,0,0.2,0,1.1,0,0.3,0.67,93.3,Not Placed,2026-01-19 06:00:00
231FA04075,CSE-AIML,2027,8.72,Yes,8,2,2,6.5,6.6,7,6.8,8,6.6,6.3,8.2,6.5,6.4,3.9,5.7,7,9,7,7,8,7,7,8,8,7,8,8,0.5,2.4,0,0.2,0,0.4,0.7,0,1.5,0.6,4.1,2.3,1.06,89.4,Placed,2026-01-19 12:00:00
231FA04076,CSE-AIML,2027,7.22,Yes,4,2,1,5.6,6,5.8,7.9,5.7,5.8,6.9,5.3,8.6,7.7,5.2,7.9,9,8,9,7,7,8,7,7,7,7,8,9,3.4,2,3.2,0,1.3,2.2,0.1,1.7,0,0,2.8,1.1,1.48,85.2,Placed,2026-01-19 18:00:00
231FA04077,CSE-AIML,2027,7.03,Yes,6,3,1,8.3,5.3,5.3,6,5,5.8,6.2,7.4,6.8,6.6,6.1,5.1,8,8,8,7,7,8,8,7,6,7,8,8,0,2.7,2.7,1,2,2.2,1.8,0,0,0.4,1.9,2.9,1.47,85.3,Not Placed,2026-01-20 00:00:00
231FA04078,CSE,2027,8,Yes,4,3,2,7.8,7.7,6.2,5.6,9,7.3,7.5,7.6,5.5,8.9,6.5,8,8,9,9,7,8,7,7,8,6,7,8,9,0.2,1.3,2.8,1.4,0,0,0,0.4,0.5,0,1.5,1,0.76,92.4,Placed,2026-01-20 06:00:00
231FA04079,CSE,2027,7.24,Yes,12,5,2,8.9,7.2,5.6,4,7.1,7.4,6.4,7.3,7.6,8.4,6.8,7.1,9,8,7,6,9,7,7,7,7,6,7,8,0.1,0.8,1.4,2,1.9,0,0.6,0,0,0,0.2,0.9,0.66,93.4,Not Placed,2026-01-20 12:00:00
231FA04080,CSE,2027,8.12,Yes,6,3,4,7,7.2,6.6,6.6,6.6,7.4,6.1,6.6,9.5,8.3,6,8.3,8,9,9,7,7,7,6,7,7,7,8,8,1,1.8,2.4,0.4,0.4,0,0,0.4,0,0,2,0,0.7,93,Not Placed,2026-01-20 18:00:00
